obsID,obsYear,month,day,species,class,order,indvdlC,fireID
115611,2013,10,26,Melanerpes uropygialis,Aves,Piciformes,1,356
116409,2019,11,10,Haliaeetus leucocephalus,Aves,Accipitriformes,1,873
116602,2009,1,6,Agelaius tricolor,Aves,Passeriformes,1,929
116959,2015,2,7,Haliaeetus leucocephalus,Aves,Accipitriformes,1,873
117169,2015,4,9,Buteo swainsoni,Aves,Accipitriformes,2,727
117169,2015,4,9,Buteo swainsoni,Aves,Accipitriformes,2,873
117169,2015,4,9,Buteo swainsoni,Aves,Accipitriformes,2,938
117918,2018,10,4,Colaptes chrysoides,Aves,Piciformes,1,1109
117932,2013,8,31,Empidonax traillii,Aves,Passeriformes,1,565
118655,2004,5,16,Colaptes chrysoides,Aves,Piciformes,2,1109
118822,2017,7,26,Buteo swainsoni,Aves,Accipitriformes,2,929
119091,2015,2,9,Haliaeetus leucocephalus,Aves,Accipitriformes,1,873
119238,2019,5,26,Colaptes chrysoides,Aves,Piciformes,3,1109
119545,2014,4,6,Colaptes chrysoides,Aves,Piciformes,1,1109
119692,2016,1,23,Haliaeetus leucocephalus,Aves,Accipitriformes,1,873
119709,2014,4,5,Colaptes chrysoides,Aves,Piciformes,1,1109
119999,2016,4,15,Buteo swainsoni,Aves,Accipitriformes,4,414
119999,2016,4,15,Buteo swainsoni,Aves,Accipitriformes,4,518
121216,2010,6,1,Colaptes chrysoides,Aves,Piciformes,1,1109
122282,2010,3,22,Agelaius tricolor,Aves,Passeriformes,10,512
122407,2019,5,27,Empidonax traillii,Aves,Passeriformes,1,291
122867,2011,5,21,Agelaius tricolor,Aves,Passeriformes,10,941
123706,2018,2,9,Colaptes chrysoides,Aves,Piciformes,1,1109
124125,2017,5,6,Haliaeetus leucocephalus,Aves,Accipitriformes,1,873
124375,2018,5,27,Ovis canadensis nelsoni,Mammalia,Artiodactyla,1,263
124967,2017,5,20,Empidonax traillii,Aves,Passeriformes,3,975
125169,2008,9,22,Empidonax traillii,Aves,Passeriformes,1,873
125182,2008,5,17,Agelaius tricolor,Aves,Passeriformes,12,1110
125281,2016,4,10,Buteo swainsoni,Aves,Accipitriformes,1,417
126507,2003,9,6,Empidonax traillii,Aves,Passeriformes,1,271
127047,2015,5,25,Colaptes chrysoides,Aves,Piciformes,1,1109
127556,2015,11,26,Haliaeetus leucocephalus,Aves,Accipitriformes,2,997
127556,2015,11,26,Haliaeetus leucocephalus,Aves,Accipitriformes,2,1112
129190,2012,3,19,Colaptes chrysoides,Aves,Piciformes,2,1109
129994,2018,2,23,Haliaeetus leucocephalus,Aves,Accipitriformes,1,873
130350,2016,4,30,Buteo swainsoni,Aves,Accipitriformes,2,873
130608,2019,5,11,Empidonax traillii,Aves,Passeriformes,1,1109
131155,1973,6,25,Colaptes chrysoides,Aves,Piciformes,1,1109
131733,2014,4,5,Buteo swainsoni,Aves,Accipitriformes,1,565
132080,2005,5,25,Empidonax traillii,Aves,Passeriformes,1,291
132275,2014,12,7,Haliaeetus leucocephalus,Aves,Accipitriformes,2,873
132344,2017,3,18,Colaptes chrysoides,Aves,Piciformes,2,1109
132356,2016,3,12,Haliaeetus leucocephalus,Aves,Accipitriformes,1,911
132566,2013,5,26,Empidonax traillii,Aves,Passeriformes,1,271
132699,2019,5,12,Colaptes chrysoides,Aves,Piciformes,1,1109
132863,2019,6,25,Colaptes chrysoides,Aves,Piciformes,3,1109
