County,FIPS,MapDate,DSCI
Fresno County,6019,20161213,461
Fresno County,6019,20161220,460
Fresno County,6019,20161227,454
Fresno County,6019,20170103,454
Fresno County,6019,20170110,395
Fresno County,6019,20170117,347
Fresno County,6019,20170124,248
Fresno County,6019,20170131,204
Fresno County,6019,20170207,176
Fresno County,6019,20170214,122
Fresno County,6019,20170221,37
Fresno County,6019,20170228,21
Fresno County,6019,20170307,21
Fresno County,6019,20170314,21
Fresno County,6019,20170321,21
Fresno County,6019,20170328,21
Fresno County,6019,20170404,21
Fresno County,6019,20170411,21
Fresno County,6019,20170418,21
Fresno County,6019,20170425,21
Fresno County,6019,20170502,21
Fresno County,6019,20170509,21
Fresno County,6019,20170516,21
Fresno County,6019,20170523,21
Fresno County,6019,20170530,21
Fresno County,6019,20170606,21
Fresno County,6019,20170613,21
Fresno County,6019,20170620,21
Fresno County,6019,20170627,21
Fresno County,6019,20170704,21
Fresno County,6019,20170711,21
Fresno County,6019,20170718,21
Fresno County,6019,20170725,21
Fresno County,6019,20170801,21
Fresno County,6019,20170808,21
Fresno County,6019,20170815,21
Fresno County,6019,20170822,21
Fresno County,6019,20170829,21
Fresno County,6019,20170905,21
Fresno County,6019,20170912,21
Fresno County,6019,20170919,21
