FID,species,class,order,year,month,day,decimalLongitude,decimalLatitude,individualCount,basisOfRecord,firename,fireyear,firesize,fireID,buffSize_km,buffArea_acres
57425,Melanerpes uropygialis,Aves,Piciformes,2018,1,16,-114.69557,32.738663,3,HUMAN_OBSERVATION,ALAMO,2016,136.4,360,2000,3282
57454,Buteo swainsoni,Aves,Accipitriformes,2013,8,13,-120.6828,37.17851,78,HUMAN_OBSERVATION,SANDY,2016,0,1107,2000,2962
57591,Melanerpes uropygialis,Aves,Piciformes,1978,1,28,-114.50415,34.74919,4,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
58507,Melanerpes uropygialis,Aves,Piciformes,2020,9,5,-114.45976,32.879894,2,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
58537,Agelaius tricolor,Aves,Passeriformes,2009,9,22,-120.65048,37.19369,2,HUMAN_OBSERVATION,SANDY,2016,0,1107,2000,2962
58673,Melanerpes uropygialis,Aves,Piciformes,2015,10,18,-114.45964,32.88135,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
58843,Melanerpes uropygialis,Aves,Piciformes,1977,5,26,-114.467445,32.88624,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
59043,Melanerpes uropygialis,Aves,Piciformes,2010,1,16,-114.68782,33.238113,3,HUMAN_OBSERVATION,DRAPER,2017,754.3,368,2000,5349
59152,Melanerpes uropygialis,Aves,Piciformes,2018,6,7,-114.45976,32.879894,2,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
59304,Empidonax traillii,Aves,Passeriformes,2019,6,16,-117.84601,34.471138,1,HUMAN_OBSERVATION,BOBCAT,2020,115997.570061,1110,2000,15236
59336,Melanerpes uropygialis,Aves,Piciformes,2017,2,17,-114.49714,32.90156,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
59598,Melanerpes uropygialis,Aves,Piciformes,2013,3,8,-114.48765,34.74276,2,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
59722,Buteo swainsoni,Aves,Accipitriformes,2015,4,25,-119.5158,34.908245,1,HUMAN_OBSERVATION,HWY166,2004,65.16033,856,2000,2836
59728,Melanerpes uropygialis,Aves,Piciformes,1973,3,24,-114.46656,32.88192,0,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
